CustomerID	Age	Gender	Tenure	Usage Frequency	Support Calls	Payment Delay	Subscription Type	Contract Length	Total Spend	Last Interaction	Churn
1	22	Female	25	14	4	27	Basic	Monthly	598	9	1
2	41	Female	28	28	7	13	Standard	Monthly	584	20	0
3	47	Male	27	10	2	29	Premium	Annual	757	21	0
4	35	Male	9	12	5	17	Premium	Quarterly	232	18	0
5	53	Female	58	24	9	2	Standard	Annual	533	18	0
6	30	Male	41	14	10	10	Premium	Monthly	500	29	0
7	47	Female	37	15	9	28	Basic	Quarterly	574	14	1
8	54	Female	36	11	0	18	Standard	Monthly	323	16	0
9	36	Male	20	5	10	8	Basic	Monthly	687	8	0
10	65	Male	8	4	2	23	Basic	Annual	995	10	0
11	46	Female	42	27	9	21	Standard	Annual	526	3	1
12	56	Male	13	23	5	14	Basic	Quarterly	187	1	0
13	31	Male	2	7	0	25	Premium	Quarterly	758	24	0
14	42	Male	46	27	5	8	Premium	Quarterly	438	30	0
15	59	Male	21	17	2	14	Premium	Quarterly	663	15	0
16	35	Female	1	3	7	3	Basic	Monthly	677	25	1
17	29	Male	54	3	6	2	Basic	Monthly	636	22	0
18	45	Male	9	30	4	25	Basic	Annual	127	18	0
19	65	Female	40	2	1	6	Premium	Annual	396	21	0
20	62	Male	39	19	2	15	Premium	Quarterly	202	24	0
21	48	Male	28	7	1	21	Premium	Monthly	925	13	0
22	36	Female	58	4	0	1	Premium	Quarterly	463	26	0
23	55	Male	50	28	0	17	Standard	Quarterly	449	3	0
24	36	Female	54	20	4	1	Basic	Monthly	373	25	0
25	64	Male	59	7	5	9	Basic	Annual	460	12	0
26	65	Female	58	7	3	30	Premium	Annual	166	1	1
27	53	Female	58	18	8	4	Basic	Quarterly	615	4	0
28	41	Female	60	7	7	0	Premium	Annual	696	20	0
29	25	Female	41	11	5	11	Premium	Annual	678	30	0
30	44	Female	44	7	8	16	Basic	Quarterly	792	27	1
31	28	Female	23	8	8	0	Basic	Annual	812	3	0
32	34	Male	26	3	0	2	Basic	Annual	156	15	0
33	24	Male	1	7	0	3	Standard	Annual	611	4	0
34	27	Female	41	8	1	7	Premium	Monthly	943	12	0
35	31	Female	31	6	2	29	Standard	Quarterly	329	6	1
36	46	Male	30	10	4	16	Standard	Monthly	493	1	0
37	59	Male	44	17	3	2	Basic	Quarterly	636	30	0
38	56	Female	27	15	8	24	Standard	Monthly	384	6	1
39	27	Female	44	21	3	22	Premium	Annual	515	1	0
